id;video_id;youtube_id;artist_id;artist_name;sond_id;song_title;key;sentence_id;gapped_sent;node_name;group_name;game_name;start_time;end_time;duration;adults_only;offset
24;645;AOPMlIIg_38;3085;Charli Xcx;2075;Boom Clap;veins;108618;You take me over you're the magic in my __ ;Feature_Has_Phoneme_Ey_Spelled_Ei;sound_ey;sounds_ey_ay;29870;33130;3260;0;0
38;494;iS1g8G_njx8;2409;Ariana Grande;759;Problem;weight;40134;Got no __ on my shoulders;Feature_Has_Phoneme_Ey_Spelled_Eigh;sound_ey;sounds_ey_ay;30330;33210;2880;0;0
39;494;iS1g8G_njx8;2409;Ariana Grande;759;Problem;weight;40160;Got no __ on my shoulders;Feature_Has_Phoneme_Ey_Spelled_Eigh;sound_ey;sounds_ey_ay;81950;84650;2700;0;0
40;494;iS1g8G_njx8;2409;Ariana Grande;759;Problem;weight;40202;Got no __ on my shoulders;Feature_Has_Phoneme_Ey_Spelled_Eigh;sound_ey;sounds_ey_ay;151480;154300;2820;0;0
41;552;DYj40-cZ5vI;2463;American Authors;822;Believer;Weights;44273;__ off my shoulders,;Feature_Has_Phoneme_Ey_Spelled_Eigh;sound_ey;sounds_ey_ay;79850;81300;1450;0;0
42;563;xGPeNN9S0Fg;2442;One Direction;831;Little Things;weight;44757;You never want to know how much you __;Feature_Has_Phoneme_Ey_Spelled_Eigh;sound_ey;sounds_ey_ay;100280;104360;4080;0;0
44;643;r5yaoMjaAmE;2502;Christina Perri;980;Human;weight;53561;I can hold the __ of worlds;Feature_Has_Phoneme_Ey_Spelled_Eigh;sound_ey;sounds_ey_ay;127650;131160;3510;0;0
45;619;w1oM3kQpXRo;2973;Christina Aguilera;1916;Everything Has Changed;eighteen;100761;And all I've seen since __ hours ago;Feature_Has_Phoneme_Ey_Spelled_Eigh;sound_ey;sounds_ey_ay;18810;26380;7570;0;0
46;647;IcrbM1l_BoI;2445;Avicii;2077;Wake Me Up;weight;108748;I tried carrying the __ of the world;Feature_Has_Phoneme_Ey_Spelled_Eigh;sound_ey;sounds_ey_ay;119970;124200;4230;0;0
143;48;g1j1qwQQ8-Q;19;James Blunt;49;Bonfire Heart;they;3000;Everybody wants a flame, but __ don't want to get burnt;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;29020;33850;4830;0;0
144;48;g1j1qwQQ8-Q;19;James Blunt;49;Bonfire Heart;they;3015;Everybody wants a flame, __ don't want to get burnt;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;94020;98280;4260;0;0
149;53;hLQl3WQQoQ0;21;Adele;54;Someone Like You;they;3298;Regrets and mistakes, __'re memories made;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;188410;192130;3720;0;0
206;96;fWNaR-rxAic;48;Carly Rae Jepsen;97;Call Me Maybe;Hey;5593;__, I just met you and this is crazy;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;27880;32040;4160;0;0
207;96;fWNaR-rxAic;48;Carly Rae Jepsen;97;Call Me Maybe;Hey;5597;__ I just met you and this is crazy;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;44260;48130;3870;0;0
