13711,2,#NAME?,2442,one direction,2,best song ever,Through,60,__ the doors and past the guards,Feature_Has_Phoneme_Uw_Spelled_Ough,sound_uw,sounds_aw_ow_uw,7900,11920,4020,0,
13712,9,XjwZAa2EjKA,3,Katy Perry,9,unconditionally,through,616,Walk __ this storm I would,Feature_Has_Phoneme_Uw_Spelled_Ough,sound_uw,sounds_aw_ow_uw,85820,89650,3830,0,
13713,19,5hzgS9s-tE8,7,Ellie Goulding,19,anything could happen,through,1282,But now I've seen it __,Feature_Has_Phoneme_Uw_Spelled_Ough,sound_uw,sounds_aw_ow_uw,110350,112600,2250,0,
13714,30,b-3BI9AspYc,11,rihanna,31,what now,through,1980,"Whatever it is, it feels like it's laughing at me __ the glass of a two-sided mirror",Feature_Has_Phoneme_Uw_Spelled_Ough,sound_uw,sounds_aw_ow_uw,30000,37780,7780,0,
13715,30,b-3BI9AspYc,11,rihanna,31,what now,through,1994,"Whatever it is, it feels like it's laughing at me __ the glass of a two-sided mirror",Feature_Has_Phoneme_Uw_Spelled_Ough,sound_uw,sounds_aw_ow_uw,94500,102180,7680,0,
13716,30,b-3BI9AspYc,11,rihanna,31,what now,through,2005,Cause I spent every hour just going __ the motions,Feature_Has_Phoneme_Uw_Spelled_Ough,sound_uw,sounds_aw_ow_uw,158640,163030,4390,0,
13717,32,TH8m6J3gPH0,12,Robin Thicke,33,give it 2 u,through,2176,Runnin' __ your mind like Jackie Joyner,Feature_Has_Phoneme_Uw_Spelled_Ough,sound_uw,sounds_aw_ow_uw,148530,150560,2030,1,
13718,34,FyXtoTLLcDk,13,Justin Timberlake,35,tko,through,2227,"Tried to go below the belt, __ my chest,",Feature_Has_Phoneme_Uw_Spelled_Ough,sound_uw,sounds_aw_ow_uw,84460,88960,4500,1,
13719,34,FyXtoTLLcDk,13,Justin Timberlake,35,tko,through,2262,"Tried to go below the belt, __ my chest",Feature_Has_Phoneme_Uw_Spelled_Ough,sound_uw,sounds_aw_ow_uw,181170,184050,2880,1,
13720,34,FyXtoTLLcDk,13,Justin Timberlake,35,tko,through,2308,"Tried to go below the belt, __ my chest",Feature_Has_Phoneme_Uw_Spelled_Ough,sound_uw,sounds_aw_ow_uw,278610,283770,5160,1,
13721,34,FyXtoTLLcDk,13,Justin Timberlake,35,tko,through,2317,"Tried to go below the belt, __ my chest",Feature_Has_Phoneme_Uw_Spelled_Ough,sound_uw,sounds_aw_ow_uw,324750,329580,4830,1,
13722,48,g1j1qwQQ8-Q,19,James Blunt,49,bonfire heart,through,3014,"Just trying to break __, trying to make you mine",Feature_Has_Phoneme_Uw_Spelled_Ough,sound_uw,sounds_aw_ow_uw,89770,94020,4250,0,
13723,52,rYEDA3JcQqw,21,adele,53,rolling in the deep,through,3238,Throw your soul __ every open door,Feature_Has_Phoneme_Uw_Spelled_Ough,sound_uw,sounds_aw_ow_uw,150540,155710,5170,0,
13724,55,Ob7vObnFUJc,23,BeyoncГ€,56,love on top,through,3325,After fighting __ my tears and finally you put me first,Feature_Has_Phoneme_Uw_Spelled_Ough,sound_uw,sounds_aw_ow_uw,54050,60800,6750,0,
13725,55,Ob7vObnFUJc,23,BeyoncГ€,56,love on top,through,3355,After fighting __ my tears and finally you put me first,Feature_Has_Phoneme_Uw_Spelled_Ough,sound_uw,sounds_aw_ow_uw,135690,142400,6710,0,
13726,56,FHp2KgyQUFk,23,BeyoncГ€,57,best thing i never had,through,3433,I'm so __ with that,Feature_Has_Phoneme_Uw_Spelled_Ough,sound_uw,sounds_aw_ow_uw,59690,62120,2430,1,
13727,56,FHp2KgyQUFk,23,BeyoncГ€,57,best thing i never had,through,3454,I'm so __ with that,Feature_Has_Phoneme_Uw_Spelled_Ough,sound_uw,sounds_aw_ow_uw,125090,127640,2550,1,
13728,56,FHp2KgyQUFk,23,BeyoncГ€,57,best thing i never had,through,3470,I'm so __ with that,Feature_Has_Phoneme_Uw_Spelled_Ough,sound_uw,sounds_aw_ow_uw,171260,173670,2410,1,
13729,56,FHp2KgyQUFk,23,BeyoncГ€,57,best thing i never had,through,3479,I'm so __ with that,Feature_Has_Phoneme_Uw_Spelled_Ough,sound_uw,sounds_aw_ow_uw,195500,198000,2500,1,
13730,57,bnVUHWCynig,23,BeyoncГ€,58,halo,through,3525,Burning __ my darkest night,Feature_Has_Phoneme_Uw_Spelled_Ough,sound_uw,sounds_aw_ow_uw,100050,103200,3150,0,
