18626,8,Ahha3Cqe_fk,3,Katy Perry,8,the one that got away,matching,553,"And on my eighteenth birthday, we got __ tattoos",Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,10360,17200,6840,0,
18627,14,pt8VYOfr8To,5,britney spears,14,work b**ch,Watch,967,"__ out now, cause here it comes",Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,70500,75500,5000,1,
18628,15,cE6wxDqdOV0,6,Lana Del Rey,15,video games,Watching,1022,__ me get undressed,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,37310,38910,1600,0,
18629,15,cE6wxDqdOV0,6,Lana Del Rey,15,video games,Watching,1055,__ all our friends fall,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,129260,131780,2520,0,
18630,18,CGyEd0aKWZE,7,Ellie Goulding,18,burn,match,1201,"Strike the __, play it loud, giving love to the world",Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,37590,43170,5580,1,
18631,18,CGyEd0aKWZE,7,Ellie Goulding,18,burn,match,1217,"Strike the __, play it loud, giving love to the world",Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,92840,98130,5290,1,
18632,18,CGyEd0aKWZE,7,Ellie Goulding,18,burn,match,1227,"Strike the __, play it loud, giving love to the world",Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,125640,131230,5590,1,
18633,18,CGyEd0aKWZE,7,Ellie Goulding,18,burn,match,1242,"Strike the __, play it loud, giving love to the world",Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,169850,175380,5530,1,
18634,18,CGyEd0aKWZE,7,Ellie Goulding,18,burn,match,1252,"Strike the __, play it loud, giving love to the world",Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,204450,210030,5580,1,
18635,21,5jlI4uzZGjU,8,pitbull,21,feel this moment,watch,1436,"Only difference is I own it, like a stop __, let's stop time and enjoy this moment",Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,163220,168460,5240,0,
18636,52,rYEDA3JcQqw,21,adele,53,rolling in the deep,pitch,3204,Reaching a fever __ and it's bringing me out the dark,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,9400,13370,3970,0,
18637,52,rYEDA3JcQqw,21,adele,53,rolling in the deep,pitch,3210,Reaching a fever __ and it's bringing me out the dark,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,36790,42370,5580,0,
18638,58,UxxajLWwzqY,24,Icona Pop,59,i love it,watched,3580,"I crashed my car into the bridge, I __, I let it burn",Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,11130,14610,3480,1,
