23267,4,pco91kroVgQ,2,lady gaga,4,applause,bear,201,"If only fame had an IV, baby could I __",string_ear,strings_are_ear_air,strings,26320,33460,7140,0,
23268,13,LOZuxwVk7TU,5,britney spears,13,toxic,wear,874,A guy like you should __ a warning,string_ear,strings_are_ear_air,strings,17600,20810,3210,1,
23269,28,ekzHIouo8Q4,10,Bruno Mars,29,when i was your man,tear,1873,"When our friends talk about you, all it does is just __ me down",string_ear,strings_are_ear_air,strings,26060,32600,6540,0,
23270,30,b-3BI9AspYc,11,rihanna,31,what now,tears,1976,"I shouldn't be crying, __ were for the weak",string_ear,strings_are_ear_air,strings,19850,24160,4310,0,
23271,30,b-3BI9AspYc,11,rihanna,31,what now,swear,2004,"The more I __ I'm happy, the more that I'm feeling alone",string_ear,strings_are_ear_air,strings,150880,158640,7760,0,
23272,40,WA4iX5D9Z64,16,Taylor Swift,41,we are never ever getting back together,swear,2511,"Baby, I miss you and I __ I'm gonna change, trust me'",string_ear,strings_are_ear_air,strings,22510,26050,3540,0,
23273,45,OpQFFLBMEPI,18,P!nk,46,just give me a reason,tear,2868,Oh __ ducts and rust,string_ear,strings_are_ear_air,strings,139400,141860,2460,0,
23274,52,rYEDA3JcQqw,21,adele,53,rolling in the deep,Tears,3216,"Rolling in the deep (__ are gonna fall, rolling in the deep)",string_ear,strings_are_ear_air,strings,62760,66680,3920,0,
23275,52,rYEDA3JcQqw,21,adele,53,rolling in the deep,Tears,3218,"And you played it to the beat (__ are gonna fall, rolling in the deep)",string_ear,strings_are_ear_air,strings,72250,77540,5290,0,
23276,52,rYEDA3JcQqw,21,adele,53,rolling in the deep,Tears,3226,"They keep me thinking that we almost had it all (__ are gonna fall, rolling in the deep)",string_ear,strings_are_ear_air,strings,101940,105890,3950,0,
23277,52,rYEDA3JcQqw,21,adele,53,rolling in the deep,Tears,3229,"Rolling in the deep (__ are gonna fall, rolling in the deep)",string_ear,strings_are_ear_air,strings,117280,122030,4750,0,
23278,52,rYEDA3JcQqw,21,adele,53,rolling in the deep,Tears,3231,"And you played it to the beat (__ are gonna fall, rolling in the deep)",string_ear,strings_are_ear_air,strings,126870,131920,5050,0,
23279,52,rYEDA3JcQqw,21,adele,53,rolling in the deep,Tears,3244,"We could've had it all (__ are gonna fall, rolling in the deep)",string_ear,strings_are_ear_air,strings,174610,180850,6240,0,
23280,52,rYEDA3JcQqw,21,adele,53,rolling in the deep,Tears,3247,"Rolling in the deep (__ are gonna fall, rolling in the deep)",string_ear,strings_are_ear_air,strings,190690,195080,4390,0,
23281,52,rYEDA3JcQqw,21,adele,53,rolling in the deep,Tears,3249,"And you played it to the beat (__ are gonna fall, rolling in the deep)",string_ear,strings_are_ear_air,strings,200190,204770,4580,0,
23282,52,rYEDA3JcQqw,21,adele,53,rolling in the deep,Tears,3252,"Rolling in the deep (__ are gonna fall, rolling in the deep)",string_ear,strings_are_ear_air,strings,208970,213500,4530,0,
23283,55,Ob7vObnFUJc,23,BeyoncГ€,56,love on top,tears,3325,After fighting through my __ and finally you put me first,string_ear,strings_are_ear_air,strings,54050,60800,6750,0,
23284,55,Ob7vObnFUJc,23,BeyoncГ€,56,love on top,tears,3355,After fighting through my __ and finally you put me first,string_ear,strings_are_ear_air,strings,135690,142400,6710,0,
23285,56,FHp2KgyQUFk,23,BeyoncГ€,57,best thing i never had,tears,3443,You don't deserve my __,string_ear,strings_are_ear_air,strings,94510,101580,7070,1,
23286,61,sC2nElyx7Ds,26,demi lovato,62,heart attack,wear,4253,"Paint my nails and __ high heels, yes you",string_ear,strings_are_ear_air,strings,36060,39390,3330,0,
23287,61,sC2nElyx7Ds,26,demi lovato,62,heart attack,wear,4274,"Paint my nails and __ perfume, for you,",string_ear,strings_are_ear_air,strings,99560,103030,3470,0,
23288,63,koJlIGDImiU,26,demi lovato,64,hero,swear,3782,Would you __ that you'll always be mine,string_ear,strings_are_ear_air,strings,91490,97580,6090,0,
23289,72,r_8ydghbGSg,30,Demi Lovato,73,skyscraper,tear,4148,Go on and try to __ me down,string_ear,strings_are_ear_air,strings,67340,72090,4750,0,
23290,72,r_8ydghbGSg,30,Demi Lovato,73,skyscraper,tear,4163,Go on and try to __ me down,string_ear,strings_are_ear_air,strings,132000,136670,4670,0,
23291,72,r_8ydghbGSg,30,Demi Lovato,73,skyscraper,tear,4178,Go on and try to __ me down,string_ear,strings_are_ear_air,strings,192010,196700,4690,0,
23292,78,Tff2oE31Mlw,32,Chris Brown,79,love more,swear,4452,"When I try I __ it's never enough, I messed up",string_ear,strings_are_ear_air,strings,22560,27080,4520,1,
23293,103,p47fEXGabaY,54,ricky martin,104,livin' la vida loca,wear,5830,She will __ you out,string_ear,strings_are_ear_air,strings,67390,70210,2820,1,
23294,103,p47fEXGabaY,54,ricky martin,104,livin' la vida loca,wear,5852,She will __ you out,string_ear,strings_are_ear_air,strings,129590,132310,2720,1,
23295,103,p47fEXGabaY,54,ricky martin,104,livin' la vida loca,wear,5868,She will __ you out,string_ear,strings_are_ear_air,strings,180770,183480,2710,1,
23296,103,p47fEXGabaY,54,ricky martin,104,livin' la vida loca,wear,5880,She will __ you out,string_ear,strings_are_ear_air,strings,202390,205150,2760,1,
23297,104,t4H_Zoh7G5A,55,Jennifer Lopez,105,on the floor,tear,5909,If you're an animal then __ up the floor,string_ear,strings_are_ear_air,strings,52900,55690,2790,1,
23298,105,#NAME?,56,Emeli Sande,106,next to me,tears,5998,When all I need's a hand to stop the __ from falling,string_ear,strings_are_ear_air,strings,101780,106540,4760,1,
