Ahha3Cqe_fk,Katy Perry,The One That Got Away,matching,"And on my eighteenth birthday, we got __ tattoos",10360,17200,6840,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
pt8VYOfr8To,Britney Spears,Work Bitch,Watch,"__ out now, cause here it comes",70500,75500,5000,1,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
cE6wxDqdOV0,Lana Del Rey,Video Games,Watching,__ me get undressed,37310,38910,1600,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
cE6wxDqdOV0,Lana Del Rey,Video Games,Watching,__ all our friends fall,129260,131780,2520,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
CGyEd0aKWZE,Ellie Goulding,Burn,match,"Strike the __, play it loud, giving love to the world",37590,43170,5580,1,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
CGyEd0aKWZE,Ellie Goulding,Burn,match,"Strike the __, play it loud, giving love to the world",92840,98130,5290,1,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
CGyEd0aKWZE,Ellie Goulding,Burn,match,"Strike the __, play it loud, giving love to the world",125640,131230,5590,1,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
CGyEd0aKWZE,Ellie Goulding,Burn,match,"Strike the __, play it loud, giving love to the world",169850,175380,5530,1,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
CGyEd0aKWZE,Ellie Goulding,Burn,match,"Strike the __, play it loud, giving love to the world",204450,210030,5580,1,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
5jlI4uzZGjU,Pitbull,Feel This Moment,watch,"Only difference is I own it, like a stop __, let's stop time and enjoy this moment",163220,168460,5240,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
rYEDA3JcQqw,Adele,Rolling In The Deep,pitch,Reaching a fever __ and it's bringing me out the dark,9400,13370,3970,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
rYEDA3JcQqw,Adele,Rolling In The Deep,pitch,Reaching a fever __ and it's bringing me out the dark,36790,42370,5580,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
UxxajLWwzqY,Icona Pop,I Love It,watched,"I crashed my car into the bridge, I __, I let it burn",11130,14610,3480,1,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
UxxajLWwzqY,Icona Pop,I Love It,watched,"I crashed my car into the bridge, I __, I let it burn",33800,37420,3620,1,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
