bESGLojNYSo,Lady Gaga,Poker Face,glue,I'm not lying I'm just stunning with my love __ gunnin',149370,152890,3520,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
Ahha3Cqe_fk,Katy Perry,The One That Got Away,clue,Talk about our future like we had a __,20650,24760,4110,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
Ahha3Cqe_fk,Katy Perry,The One That Got Away,blues,"Saw you downtown, singing the __",79710,83400,3690,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
cE6wxDqdOV0,Lana Del Rey,Video Games,true,"Honey, is that __?",74520,78910,4390,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
cE6wxDqdOV0,Lana Del Rey,Video Games,blue,Kissing in the __ dark,113410,115720,2310,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
cE6wxDqdOV0,Lana Del Rey,Video Games,true,"Honey, is that __?",162620,164610,1990,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
cE6wxDqdOV0,Lana Del Rey,Video Games,true,"Honey, is that __?",220140,223610,3470,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
Py_-3di1yx0,Lana Del Rey,Ride,blues,Singing __ has been getting old,44040,51110,7070,1,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
nPvuNsRccVw,Bruno Mars,Treasure,true,You know you can make my wish come __,45740,49690,3950,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
nPvuNsRccVw,Bruno Mars,Treasure,blue,A girl like you should never live so __,64920,68850,3930,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
nPvuNsRccVw,Bruno Mars,Treasure,true,I wouldn't say that to you if it wasn't __,73790,76710,2920,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
nPvuNsRccVw,Bruno Mars,Treasure,true,You know you can make my wish come __,103390,107710,4320,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
nPvuNsRccVw,Bruno Mars,Treasure,true,You know you can make my wish come __,144450,148910,4460,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
TH8m6J3gPH0,Robin Thicke,Give It 2 U,true,"Come __, ooh baby",61460,65310,3850,1,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
TH8m6J3gPH0,Robin Thicke,Give It 2 U,true,"Come __, ooh baby",121990,125740,3750,1,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
TH8m6J3gPH0,Robin Thicke,Give It 2 U,true,"Come __, ooh baby",182430,186150,3720,1,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
TH8m6J3gPH0,Robin Thicke,Give It 2 U,true,"Come __, ooh baby",197460,201230,3770,1,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
uuNTO31FlY8,Avril Lavigne,Rock N Roll,issues,I might have a couple __,82620,84840,2220,1,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
