bESGLojNYSo,Lady Gaga,Poker Face,before,Take your bank __ I pay you out,155480,157740,2260,0,string_ore,string_ore,strings,,,,,,
k0BWlvnBmIE,Katy Perry,Wide Awake,anymore,But I'm not blind __,150980,155900,4920,0,string_ore,string_ore,strings,,,,,,
nVjsGKrE6E8,Lana Del Rey,Summertime Sadness,before,Kiss me hard __ you go,15580,20960,5380,0,string_ore,string_ore,strings,,,,,,
nVjsGKrE6E8,Lana Del Rey,Summertime Sadness,anymore,Nothing scares me __,63320,68070,4750,0,string_ore,string_ore,strings,,,,,,
nVjsGKrE6E8,Lana Del Rey,Summertime Sadness,before,Kiss me hard __ you go,68070,72370,4300,0,string_ore,string_ore,strings,,,,,,
nVjsGKrE6E8,Lana Del Rey,Summertime Sadness,anymore,Nothing scares me __,132060,136680,4620,0,string_ore,string_ore,strings,,,,,,
nVjsGKrE6E8,Lana Del Rey,Summertime Sadness,before,Kiss me hard __ you go,136680,140830,4150,0,string_ore,string_ore,strings,,,,,,
nVjsGKrE6E8,Lana Del Rey,Summertime Sadness,before,Kiss me hard __ you go,209620,213830,4210,0,string_ore,string_ore,strings,,,,,,
qrOeGCJdZe4,Onerepublic,All The Right Moves,Before,__ anybody's knowing our name,48210,51190,2980,0,string_ore,string_ore,strings,,,,,,
b-3BI9AspYc,Rihanna,What Now,more,"The __ I swear I'm happy, the more that I'm feeling alone",150880,158640,7760,0,string_ore,string_ore,strings,,,,,,
b-3BI9AspYc,Rihanna,What Now,more,"The more I swear I'm happy, the __ that I'm feeling alone",150880,158640,7760,0,string_ore,string_ore,strings,,,,,,
FyXtoTLLcDk,Justin Timberlake,Tko,more,"Can't fight no __, you knock me out",68170,70870,2700,1,string_ore,string_ore,strings,,,,,,
FyXtoTLLcDk,Justin Timberlake,Tko,anymore,"No, not __, TKO",95990,98990,3000,1,string_ore,string_ore,strings,,,,,,
FyXtoTLLcDk,Justin Timberlake,Tko,more,"Can't fight no __, you knock me out",165780,168360,2580,1,string_ore,string_ore,strings,,,,,,
FyXtoTLLcDk,Justin Timberlake,Tko,anymore,"No, not __, TKO",193500,196560,3060,1,string_ore,string_ore,strings,,,,,,
FyXtoTLLcDk,Justin Timberlake,Tko,more,"Can't fight no __, you knock me out",262860,265530,2670,1,string_ore,string_ore,strings,,,,,,
FyXtoTLLcDk,Justin Timberlake,Tko,anymore,"No, not __, TKO",291000,294780,3780,1,string_ore,string_ore,strings,,,,,,
4GuqB1BQVr4,Justin Bieber,Boyfriend,before,I can take you places you ain't never been __,11280,13830,2550,0,string_ore,string_ore,strings,,,,,,
OpQFFLBMEPI,P!Nk,Just Give Me A Reason,more,"There's nothing __ than empty sheets between our love, our love",103010,112200,9190,0,string_ore,string_ore,strings,,,,,,
yTCDVfMz15M,P!Nk,Try,More,__ than just a couple times,90000,95050,5050,0,string_ore,string_ore,strings,,,,,,
bnVUHWCynig,Beyoncй,Halo,more,You're everything I need and __,73030,76050,3020,0,string_ore,string_ore,strings,,,,,,
bnVUHWCynig,Beyoncй,Halo,swore,I __ I'd never fall again,109030,112000,2970,0,string_ore,string_ore,strings,,,,,,
bnVUHWCynig,Beyoncй,Halo,more,You're everything I need and __,145150,148090,2940,0,string_ore,string_ore,strings,,,,,,
bnVUHWCynig,Beyoncй,Halo,more,You're everything I need and __,220200,223200,3000,0,string_ore,string_ore,strings,,,,,,
sC2nElyx7Ds,Demi Lovato,Heart Attack,more,Pain's __ trouble than love is worth,88610,91240,2630,0,string_ore,string_ore,strings,,,,,,
3OnnDqH6Wj8,Flo Rida,Good Feeling,before,"I get a feeling that I never never never never had __, no no",14240,20280,6040,0,string_ore,string_ore,strings,,,,,,
3OnnDqH6Wj8,Flo Rida,Good Feeling,before,"I get a feeling that I never never never never had __, no no",30030,35230,5200,0,string_ore,string_ore,strings,,,,,,
3OnnDqH6Wj8,Flo Rida,Good Feeling,before,"I get a feeling that I never never never never had __, no no",74250,80660,6410,0,string_ore,string_ore,strings,,,,,,
3OnnDqH6Wj8,Flo Rida,Good Feeling,before,"I get a feeling that I never never never never had __, no no",89070,95000,5930,0,string_ore,string_ore,strings,,,,,,
3OnnDqH6Wj8,Flo Rida,Good Feeling,more,"Diamond, platinum, no __ for you",108560,110660,2100,0,string_ore,string_ore,strings,,,,,,
3OnnDqH6Wj8,Flo Rida,Good Feeling,before,"I get a feeling that I never never never never had __, no no",140810,146180,5370,0,string_ore,string_ore,strings,,,,,,
3OnnDqH6Wj8,Flo Rida,Good Feeling,before,"I get a feeling that I never never never never had __, no no",155520,160560,5040,0,string_ore,string_ore,strings,,,,,,
3OnnDqH6Wj8,Flo Rida,Good Feeling,before,"I get a feeling that I never never never never had __, no no",206430,211470,5040,0,string_ore,string_ore,strings,,,,,,
3OnnDqH6Wj8,Flo Rida,Good Feeling,before,"I get a feeling that I never never never never had __, no no",221460,226580,5120,0,string_ore,string_ore,strings,,,,,,
fwK7ggA3-bU,Maroon 5,One More Night,score,"You and I get so damn dysfunctional, we start keeping __",19230,24240,5010,1,string_ore,string_ore,strings,,,,,,
fwK7ggA3-bU,Maroon 5,One More Night,more,"You and I get sick, yeah I know that we can't do this no __",24240,29490,5250,1,string_ore,string_ore,strings,,,,,,
fwK7ggA3-bU,Maroon 5,One More Night,more,That I'll only stay with you one __ night,55830,61150,5320,1,string_ore,string_ore,strings,,,,,,
fwK7ggA3-bU,Maroon 5,One More Night,more,But I'll only stay with you one __ night,66310,71010,4700,1,string_ore,string_ore,strings,,,,,,
fwK7ggA3-bU,Maroon 5,One More Night,more,That I'll only stay with you one __ night,117840,123120,5280,1,string_ore,string_ore,strings,,,,,,
fwK7ggA3-bU,Maroon 5,One More Night,more,But I'll only stay with you one __ night,127900,136690,8790,1,string_ore,string_ore,strings,,,,,,
fwK7ggA3-bU,Maroon 5,One More Night,more,Yeah baby give me one __ night,136690,141690,5000,1,string_ore,string_ore,strings,,,,,,
fwK7ggA3-bU,Maroon 5,One More Night,more,Yeah baby give me one __ night,141690,147310,5620,1,string_ore,string_ore,strings,,,,,,
fwK7ggA3-bU,Maroon 5,One More Night,more,Yeah baby give me one __ night,147310,154120,6810,1,string_ore,string_ore,strings,,,,,,
fwK7ggA3-bU,Maroon 5,One More Night,more,That I'll only stay with you one __ night,179690,185110,5420,1,string_ore,string_ore,strings,,,,,,
fwK7ggA3-bU,Maroon 5,One More Night,more,But I'll only stay with you one __ night,190080,193970,3890,1,string_ore,string_ore,strings,,,,,,
fwK7ggA3-bU,Maroon 5,One More Night,more,(Yeah baby give me one __ night),193970,195510,1540,1,string_ore,string_ore,strings,,,,,,
fwK7ggA3-bU,Maroon 5,One More Night,more,That I'll only stay with you one __ night,200330,205580,5250,1,string_ore,string_ore,strings,,,,,,
fwK7ggA3-bU,Maroon 5,One More Night,more,But I'll only stay with you one __ night,210790,224000,13210,1,string_ore,string_ore,strings,,,,,,
nIjVuRTm-dc,Maroon 5,She Will Be Loved,more,I've had you so many times but somehow I want __,36840,46220,9380,0,string_ore,string_ore,strings,,,,,,
nIjVuRTm-dc,Maroon 5,She Will Be Loved,anymore,It doesn't matter __,91600,96040,4440,0,string_ore,string_ore,strings,,,,,,
nRpjsFcb2uo,John Legend,Made To Love,more,In much __ than you and me,30610,33130,2520,0,string_ore,string_ore,strings,,,,,,
nRpjsFcb2uo,John Legend,Made To Love,before,"Ooh, I was never sure of a God __",107320,111700,4380,0,string_ore,string_ore,strings,,,,,,
F3EG4olrFjY,Olly Murs,Dance With Me Tonight,more,"One __ time, one more time, come on now",138690,143650,4960,0,string_ore,string_ore,strings,,,,,,
