LrUvu1mlWco,Miley Cyrus,We Can'T Stop,care,Hands in the air like we don't __,26630,29540,2910,1,string_are,strings_are_ear_air,strings,,,,,,
nVjsGKrE6E8,Lana Del Rey,Summertime Sadness,scares,Nothing __ me anymore,63320,68070,4750,0,string_are,strings_are_ear_air,strings,,,,,,
nVjsGKrE6E8,Lana Del Rey,Summertime Sadness,scares,Nothing __ me anymore,132060,136680,4620,0,string_are,strings_are_ear_air,strings,,,,,,
kffacxfA7G4,Justin Bieber,Baby,care,"You know you love me, you know you __",13930,17450,3520,0,string_are,strings_are_ear_air,strings,,,,,,
uuNTO31FlY8,Avril Lavigne,Rock N Roll,care,I don't __ about my make-up,3620,6800,3180,1,string_are,strings_are_ear_air,strings,,,,,,
uuNTO31FlY8,Avril Lavigne,Rock N Roll,care,I don't __ if I'm a misfit,14600,17150,2550,1,string_are,strings_are_ear_air,strings,,,,,,
uuNTO31FlY8,Avril Lavigne,Rock N Roll,care,Don't __ about a reputation,87790,90540,2750,1,string_are,strings_are_ear_air,strings,,,,,,
rYEDA3JcQqw,Adele,Rolling In The Deep,bare,Go 'head and sell me out and I'll lay your ship __,17890,22650,4760,0,string_are,strings_are_ear_air,strings,,,,,,
hLQl3WQQoQ0,Adele,Someone Like You,compares,Nothing __ no worries or cares,184900,188410,3510,0,string_are,strings_are_ear_air,strings,,,,,,
hLQl3WQQoQ0,Adele,Someone Like You,cares,Nothing compares no worries or __,184900,188410,3510,0,string_are,strings_are_ear_air,strings,,,,,,
FHp2KgyQUFk,Beyoncй,Best Thing I Never Had,care,"Boo hoo, oh, did you expect me to __?",89610,94510,4900,1,string_are,strings_are_ear_air,strings,,,,,,
UxxajLWwzqY,Icona Pop,I Love It,care,"I don't __, I love it, I don't care",20470,29000,8530,1,string_are,strings_are_ear_air,strings,,,,,,
UxxajLWwzqY,Icona Pop,I Love It,care,"I don't care, I love it, I don't __",20470,29000,8530,1,string_are,strings_are_ear_air,strings,,,,,,
UxxajLWwzqY,Icona Pop,I Love It,care,"I don't __, I love it, I don't care",43440,51790,8350,1,string_are,strings_are_ear_air,strings,,,,,,
UxxajLWwzqY,Icona Pop,I Love It,care,"I don't care, I love it, I don't __",43440,51790,8350,1,string_are,strings_are_ear_air,strings,,,,,,
UxxajLWwzqY,Icona Pop,I Love It,care,"I don't __, I love it",96990,100480,3490,1,string_are,strings_are_ear_air,strings,,,,,,
UxxajLWwzqY,Icona Pop,I Love It,care,"I don't __, I love it, I love it",100480,105120,4640,1,string_are,strings_are_ear_air,strings,,,,,,
UxxajLWwzqY,Icona Pop,I Love It,care,"I don't __, I love it, I don't care",105120,112540,7420,1,string_are,strings_are_ear_air,strings,,,,,,
UxxajLWwzqY,Icona Pop,I Love It,care,"I don't care, I love it, I don't __",105120,112540,7420,1,string_are,strings_are_ear_air,strings,,,,,,
UxxajLWwzqY,Icona Pop,I Love It,care,"I don't __, I love it",128070,131060,2990,1,string_are,strings_are_ear_air,strings,,,,,,
UxxajLWwzqY,Icona Pop,I Love It,care,"I don't __, I love it, I love it",131060,135540,4480,1,string_are,strings_are_ear_air,strings,,,,,,
UxxajLWwzqY,Icona Pop,I Love It,care,"I don't __, I love it",135540,138700,3160,1,string_are,strings_are_ear_air,strings,,,,,,
UxxajLWwzqY,Icona Pop,I Love It,care,"I don't __, I love it, I love it",138700,143180,4480,1,string_are,strings_are_ear_air,strings,,,,,,
UxxajLWwzqY,Icona Pop,I Love It,care,"I don't __, I love it",143180,183000,39820,1,string_are,strings_are_ear_air,strings,,,,,,
sC2nElyx7Ds,Demi Lovato,Heart Attack,care,"When I don't __, I can play 'em like a Ken doll",22030,27760,5730,0,string_are,strings_are_ear_air,strings,,,,,,
