2011;494;iS1g8G_njx8;2409;Ariana Grande;759;Problem;money;40175;Smart __ bettin', I'll be better off without you;Feature_Has_Phoneme_Iy_Spelled_Ey;sounds_ih_iy;sounds_ih_iy;112670;114810;2140;0;0
2015;505;xOYJXMfoBN8;2419;Ed Sheeran;770;Don'T;money;40811;But me and her we make __ the same way;Feature_Has_Phoneme_Iy_Spelled_Ey;sounds_ih_iy;sounds_ih_iy;87790;90010;2220;0;0
2024;528;nlcIKh6sBtc;2444;Lorde;797;Royals;money;42571;We didn't come from __;Feature_Has_Phoneme_Iy_Spelled_Ey;sounds_ih_iy;sounds_ih_iy;103070;105830;2760;0;0
2051;551;yVdnvQsKyUs;2462;Hunter Hayes;821;Everybody'S Got Somebody But Me;honeymoon;44186;Seems like everyone around me is on their __;Feature_Has_Phoneme_Iy_Spelled_Ey;sounds_ih_iy;sounds_ih_iy;25570;28730;3160;0;0
2081;607;Gqm873UWUdw;2442;One Direction;2045;Moments;key;106844;Throw the __;Feature_Has_Phoneme_Iy_Spelled_Ey;sounds_ih_iy;sounds_ih_iy;97190;99860;2670;0;0
2082;608;e-ORhEE9VVg;2448;Taylor Swift;2046;Blank Space;money;106897;New __, suit and tie;Feature_Has_Phoneme_Iy_Spelled_Ey;sounds_ih_iy;sounds_ih_iy;27610;30610;3000;0;0
2083;638;78-bUVSiJMA;3084;Phineas And Ferb;2072;Today Is Gonna Be A Great Day;monkey;108469;Or giving a __ a shower;Feature_Has_Phoneme_Iy_Spelled_Ey;sounds_ih_iy;sounds_ih_iy;22100;25350;3250;0;0
2084;644;lp-EO5I60KA;2419;Ed Sheeran;2074;Thinking Out Loud;honey;108583;So __ now;Feature_Has_Phoneme_Iy_Spelled_Ey;sounds_ih_iy;sounds_ih_iy;78970;84040;5070;0;0
2085;644;lp-EO5I60KA;2419;Ed Sheeran;2074;Thinking Out Loud;honey;108593;'Cause __ your soul could never grow old, it's evergreen;Feature_Has_Phoneme_Iy_Spelled_Ey;sounds_ih_iy;sounds_ih_iy;133660;145960;12300;0;0
2086;647;IcrbM1l_BoI;2445;Avicii;2077;Wake Me Up;journey;108731;I can't tell where the __ will end;Feature_Has_Phoneme_Iy_Spelled_Ey;sounds_ih_iy;sounds_ih_iy;15540;19770;4230;0;0
