,Comments - Diletta,Comments - Patricia,Title,Artist,Date Added,Date Sync,New Youtube ID,Age,Andrea's genre 1,Andrea's genre 2,Andrea's genre 3
R,.,,I wanna dance with somebody (who loves me),Whitney Houston,,9/11/2014,eH3giaIzONA,,,,
R,.,,That don't impress me much,Shania Twain,,9/11/2014,mqFLXayD6e8,,,,
R,.,,Man! I feel like a woman!,Shania Twain,,9/11/2014,ZJL4UGSbeFg,,,,
R,.,,I believe I can fly,R. Kelly,,9/11/2014,GIQn8pab8Vc,,,,
R,.,,Incomplete,Backstreet boys,,31/10/2014,WVe80iZtlYU,00's,Pop,Rock,
R,.,,Family affair,Mary J. Blige,,31/10/2014,znlFu_lemsU,00's,Hip-hop/R&B,,
R,.,,Candy man,Christina Aguilera,,29/10/2014,-ScjucUV8v0,00's,Pop,Dance,
KIDS PLAYLIST,,,,,,,,,,,
E,,.,Under the sea,The little mermaid,,25/11/2014,GC_mV1IpjWA,,,,
,.,,A whole new world,Aladdin,,2/12/2014,BV77nWMQgJI,,,,
,.,,All for one,High School Musical 2,,28/11/2014,Axv3bGOawx0,,,,
,.,,We're all in this together,High School Musical,,27/11/2014,BlRvE9dKWQc,,,,
,.,,Go the distance,Hercules,,27/11/2014,8EYVepDBAC0,,,,
,.,,On my way,Phil Collins,,1/12/2014,RU8aKj8t7gM,,,,
,.,,The best of both worlds,"Christina Aguilera (the artist name should be hannah montana, we're changing it)",,2/12/2014,uVjRe8QXFHY,,,,
,.,,We belong together (TS),Toy Story 3,,4/12/2014,DyDjpGzdNE4,,,,
,.,,A spoonful of sugar,Mary Poppins,,4/12/2014,vLkp_Dx6VdI,,,,
,.,,Here I am,Bryan Adams,,4/12/2014,gyzuft-Rv_A,,,,
,.,,Beauty and the beast,Celine Dion,,4/12/2014,pgYEJHJXFB4,,,,
,.,,Firework,"Christina Aguilera (the artist name should be Madagascar, we're changing it)",,9/12/2014,lC4-o8rmFOw,,,,
,.,,Today is gonna be a great day,Phineas and Ferb,,9/12/2014,78-bUVSiJMA,,,,
,,.,This is me,"Christina Aguilera (the artist name should be demi lovato, we're changing it)",,24/11/2014,WpBeGJjGMNs,,,,
,.,,Can you feel the love tonight,Elton John,,28/11/2014,25QyCxVkXwQ,,,,
,,.,Do you want to build a snowman?,Frozen,,24/11/2014,1APv9t_LyOY,,,,
,,.,Play my music,Jonas Brothers,,25/11/2014,zAwpV2f4Wok,,,,
,,.,I just can't wait to be king,The Lion King,,25/11/2014,0bGjlvukgHU,,,,
,,.,Love is an open door,Frozen,,24/11/2014,TtCXUFImZYE,,,,
BEST OF 2014 PLAYLIST,,,,,,,,,,,
E,.,,All of me,"John Legend (it's not on Manual playlist, but in Pop playlist)",,12/12/2014,450p7goxZqg,,,,
E,,,She looks so perfect,5 seconds of summer,,27/8/2014,X2BYmmTI04I,10's,Rock,Teenpop,
,.,,Budapest,George Ezra,,17/12/2014,VHrLPs3_1Fs,,,,
,.,,A sky full of stars,Coldplay,,17/12/2014,VPRjCeoBqrI,,,,
,.,,Human,Christina Perri,,17/12/2014,r5yaoMjaAmE,,,,
,.,,Thinking out loud,Ed Sheeran,,17/12/2014,lp-EO5I60KA,,,,
,.,,Demons,"Imagine Dragons (This song is not in Manual playlist, but in Indie/alternative playlist)",,17/12/2014,mWRsgZuwf_8,,,,
,.,,All about that bass,Meghan Trainor,,17/12/2014,7PCkvCPvDXk,,,,
,.,,Boom Clap,Charli xcx,,17/12/2014,AOPMlIIg_38,,,,
,.,,Wake me up,Avicii,,17/12/2014,IcrbM1l_BoI,,,,
,.,,Cool kids,Echosmith,,19/12/2014,UXTlczyWJ-Y,,,,
,.,,Not about angels,Birdy,,19/12/2014,kxVUee4WsoA,,,,
,.,,Amnesia,"Christina Aguilera (the artist name should be 5 seconds of summer, we're changing it)",,12/12/2014,DCCJCILiX3o,,,,
,,,Somebody to you,The Vamps,,28/8/2014,0go2nfVXFgA,10's,Pop,Teenpop,
,,,Stay with me,Sam Smith,,28/07/2014,pB-5XG-DbAA,10's,Pop,R&B,
,,.,Best day of my life,American Authors,24/11/2014,20/8/2014,Y66j_BUCBMY,10's,Pop,Indie/alternative,
,,,Counting stars,One republic,,23/07/2014,hT_nvWreIhg,10's,Pop,Rock,
