Node;Example;Total;Profane
double_cons_before_ing_ed_er;Forgetting;8;0
Feature_Has_Phoneme_Aw_Spelled_Ou;about;479;0
Feature_Has_Phoneme_Aw_Spelled_Ow;now;44;0
Feature_Has_Phoneme_Ay_Spelled_Ie;tried;41;0
Feature_Has_Phoneme_Ay_Spelled_Y_Not_End;style;14;0
Feature_Has_Phoneme_Ay_Spelled_Y_Not_End;style;0;0
Feature_Has_Phoneme_Ey_Spelled_Eigh;weight;7;0
Feature_Has_Phoneme_Ey_Spelled_Ey;they;100;0
Feature_Has_Phoneme_F_Spelled_Ph;atmosphere;1;0
Feature_Has_Phoneme_Iy_Spelled_Ea;real;350;0
Feature_Has_Phoneme_Iy_Spelled_Ie;piece;48;0
Feature_Has_Phoneme_Ih_Spelled_Y_Not_End;says;74;0
Feature_Has_Phoneme_Iy_Spelled_Ee;seem;348;0
Feature_Has_Phoneme_Iy_Spelled_Ey;journey;9;0
Feature_Has_Phoneme_Jh_Spelled_G;angels;106;0
Feature_Has_Phoneme_K_Spelled_Ch;school;10;0
Feature_Has_Phoneme_Ow_Spelled_Oe;goes;22;0
Feature_Has_Phoneme_Ow_Spelled_Ough;Though;12;0
Feature_Has_Phoneme_Ow_Spelled_Ow;know;491;0
Feature_Has_Phoneme_Ow_Spelled_Ow;know;0;0
Feature_Has_Phoneme_Sh_Spelled_Ch;machine;2;0
Feature_Has_Phoneme_Uw_Spelled_Ew;new;63;0
Feature_Has_Phoneme_Uw_Spelled_Ough;through;32;0
Feature_Has_Phoneme_Uw_Spelled_Ue;clue;30;0
Feature_Has_Phoneme_W_Spelled_Wh;what;557;0
Feature_Has_Phoneme_Zh_Spelled_S;treasure;3;0
Feature_Has_Phonemes_Ah0_L_Spelled_Al;special;20;0
Feature_Has_Phonemes_Ah0_L_Spelled_El;travel;8;0
Feature_Has_Phonemes_Ah0_L_Spelled_El;travel;0;0
Feature_Has_Phonemes_Ah0_L_Spelled_Le;invincible;136;0
Feature_Has_Phonemes_S_Ah0_N_Spelled_Sten;listening;5;0
Feature_Has_Silent_U_In_Ui;Guided;11;0
Feature_Has_String_Cei;ceiling;1;0
Feature_Has_String_Ight;night;320;0
Feature_Has_Suffix_Ch;much;6;0
Feature_Has_Suffix_Gue;tongue;1;0
Feature_Has_Suffix_Tch;Stretching;29;0
silent_cons;ascending;656;0
single_cons_before_ing_ed_er;figured;21;0
sound_s;special;457;0
string_air;unfair;23;0
string_are;dare;29;0
string_ear;bear;18;0
string_ore;portal;96;0
string_ough;caught;144;0
