One Direction~Steal My Girl;148
Christina Aguilera~Everything Has Changed;143
Christina Aguilera~22;112
Passenger~Let Her Go;108
Michael Jackson~Man In The Mirror;103
One Direction~What Makes You Beautiful;94
Michael Jackson~Billie Jean;91
One Direction~Best Song Ever;87
Taylor Swift~You Belong With Me;85
5 Seconds Of Summer~Don'T Stop;82
Phil Collins~On My Way;78
Avril Lavigne~When You'Re Gone;76
Milky Chance~Stolen Dance;75
Mika~We Are Golden;75
Christina Aguilera~Amnesia;75
High School Musical~We'Re All In This Together;74
R. Kelly~I Believe I Can Fly;73
Whitney Houston~I Wanna Dance With Somebody Who Loves Me;72
Taylor Swift~Blank Space;72
Mary J. Blige~Family Affair;71
Shania Twain~That Don'T Impress Me Much;70
Ed Sheeran~Don'T;70
Taylor Swift~White Horse;69
Mika~Grace Kelly;66
One Direction~Moments;65
Taylor Swift~Our Song;65
Bruno Mars~Grenade;65
Gotye~Somebody That I Used To Know;63
American Authors~Believer;62
One Direction~I Would;61
Meghan Trainor~All About That Bass;61
Avicii~Wake Me Up;60
Ariana Grande~Problem;59
Zedd~Clarity;59
One Republic~Love Runs Out;58
Ed Sheeran~Thinking Out Loud;57
Phineas And Ferb~Today Is Gonna Be A Great Day;57
James Blunt~Bonfire Heart;57
One Direction~Story Of My Life;57
The Lion King~I Just Can'T Wait To Be King;56
One Direction~Little Things;55
Ne-Yo~One In A Million;55
Clean Bandit~Extraordinary;54
Aladdin~A Whole New World;53
Taylor Swift~Love Story;52
Taylor Swift~Red;51
Mary Poppins~A Spoonful Of Sugar;50
Avril Lavigne~Complicated;49
Nico And Vinz~Am I Wrong;48
Elton John~Can You Feel The Love Tonight;47
Charli Xcx~Boom Clap;46
Bryan Adams~Here I Am;46
One Direction~Live While We'Re Young;46
James Blunt~Heart To Heart;46
Jonas Brothers~Play My Music;46
Carly Rae Jepsen~Call Me Maybe;45
Bruno Mars~Just The Way You Are;45
One Direction~One Thing;44
Christina Aguilera~The Best Of Both Worlds;43
Christina Aguilera~Shake It Off;43
Owl City~Beautiful Times;41
High School Musical 2~All For One;41
Florida Georgia Line~Stay;40
The Vamps~Wild Heart;39
Hunter Hayes~Everybody'S Got Somebody But Me;39
George Ezra~Budapest;38
One Direction~Gotta Be You;38
Demi Lovato~Skyscraper;38
Birdy~Not About Angels;37
Echosmith~Cool Kids;37
Frozen~Love Is An Open Door;37
Lorde~Royals;36
Kings Of Leon~Wait For Me;36
Taylor Swift~We Are Never Ever Getting Back Together;35
Adele~Someone Like You;35
One Direction~You And I;35
Backstreet Boys~Larger Than Life;33
Hercules~Go The Distance;31
David Guetta~Lovers On The Sun;31
Kings Of Leon~Use Somebody;30
Demi Lovato~Warrior;29
Backstreet Boys~Incomplete;29
One Direction~Kiss You;29
Christina Perri~Human;27
Bastille~Oblivion;26
The Vamps~Somebody To You;25
Coldplay~The Scientist;24
James Blunt~You'Re Beautiful;24
Avril Lavigne~Let Me Go;24
Celine Dion~Beauty And The Beast;20
Christina Aguilera~Firework;17
American Authors~Best Day Of My Life;17
Queen~We Will Rock You;16
Christina Aguilera~Say Something;11
Sam Smith~Stay With Me;8
