943;76;F3EG4olrFjY;31;Olly Murs;77;dance with me tonight;minute;minute;4352;I was wondering if you and me could spend a __;3-4;33500;36220;2720;0;0
944;78;Tff2oE31Mlw;32;Chris Brown;79;love more;minute;minute;4463;One __ I hate you, then I love you;3-4;49370;52220;2850;1;0
945;78;Tff2oE31Mlw;32;Chris Brown;79;love more;minute;minute;4482;One __ I hate you, then I love you;3-4;104190;107050;2860;1;0
946;474;Ve9cBwI-pAg;36;Lily Allen;83;somewhere only we know;minute;minute;10464;And if you have a __, why don't we go;3-4;111790;117820;6030;0;0
947;474;Ve9cBwI-pAg;36;Lily Allen;83;somewhere only we know;minute;minute;10475;And if you have a __, why don't we go;3-4;167580;173820;6240;0;0
948;85;DGIgXP9SvB8;38;will.i.am;86;#thatpower;Minute;minute;4867;__, hour, bigger, better, stronger, power;3-4;53500;59330;5830;1;0
949;85;DGIgXP9SvB8;38;will.i.am;86;#thatpower;minute;minute;4891;And IвЂ™m loving every second __, hour, bigger, better, stronger, power;3-4;125780;134360;8580;1;0
950;85;DGIgXP9SvB8;38;will.i.am;86;#thatpower;minute;minute;4922;And I'm loving every second, __, hour, bigger, better, stronger, power;3-4;223280;231670;8390;1;0
951;85;DGIgXP9SvB8;38;will.i.am;86;#thatpower;minute;minute;4928;And I'm loving every second, __, hour, bigger, better, stronger, power;3-4;246810;254150;7340;1;0
952;85;DGIgXP9SvB8;38;will.i.am;86;#thatpower;minute;minute;4929;And I'm loving every second, __, hour, bigger, better, stronger, power;3-4;254150;293000;38850;1;0
953;479;lZHoci2Wjs0;365;Radiohead;196;karma police;minute;minute;10784;For a __ there;3-4;155280;158530;3250;0;0
954;479;lZHoci2Wjs0;365;Radiohead;196;karma police;minute;minute;10786;Phew, for a __ there;3-4;167080;171030;3950;0;0
955;479;lZHoci2Wjs0;365;Radiohead;196;karma police;minute;minute;10789;For a __ there;3-4;191280;196700;5420;0;0
956;479;lZHoci2Wjs0;365;Radiohead;196;karma police;minute;minute;10791;Phew, for a __ there;3-4;205860;209340;3480;0;0
957;298;sRYNYb30nxU;572;The Darkness;306;i believe in a thing called love;minute;minute;14746;I want to kiss you every __, every hour, every day;3-4;68050;75520;7470;0;0
958;320;yyr2gEouEMM;806;Kendrick Lamar;330;poetic justice;minute;minute;15532;Every second, every __, man I swear that she can get it;3-4;0;3110;3110;1;0
959;350;otCpCn0l4Wo;970;MC Hammer;361;u can't touch this;minute;minute;17930;Just for a __ let's all do the bump;3-4;128560;130350;1790;0;0
960;368;GCdwKhTtNNw;1780;The Neighbourhood;383;sweater weather;minute;minute;18860;The __ that my left hand meets your waist;3-4;78820;80720;1900;0;0
961;393;4BJDNw7o6so;1794;Phoenix;408;lisztomania;minute;minute;19712;For one __ only;3-4;112740;114900;2160;0;0
962;512;xKkb13IU_DE;2429;Kid Ink;779;show me;minute;minute;41463;If I get a __, IвЂ™ll put your bad *** in detention;3-4;124120;127160;3040;1;0
963;598;ZuI61cTNbAk;2506;Backstreet Boys;990;shape of my heart;minute;minute;54051;If every __ it makes me weaker;3-4;34070;38290;4220;0;0
964;638;78-bUVSiJMA;3084;Phineas and Ferb;2072;Today is gonna be a great day;minute;minute;108476;So make every __ count, jump up, jump in and cease the day;3-4;48020;53550;5530;0;0
965;638;78-bUVSiJMA;3084;Phineas and Ferb;2072;Today is gonna be a great day;minute;minute;108487;So make every __ count, jump up, jump in and cease the day;3-4;96450;101970;5520;0;0
966;638;78-bUVSiJMA;3084;Phineas and Ferb;2072;Today is gonna be a great day;minute;minute;108499;So make every __ count, jump up, jump in and cease the day;3-4;153470;159240;5770;0;0
967;166;dvgZkm1xWPE;353;Coldplay;171;viva la vida;minute;minute;9581;One __ I held the key;3-4;54770;58270;3500;0;0
1203;146;Jne9t8sHpUc;116;Alanis Morissette;148;ironic;minutes;minute;8442;It's a death row pardon two __ too late;3-4;27410;32870;5460;0;0
1204;228;TOypSnKFHrE;391;The Strokes;234;last nite;minutes;minute;12090;Well I've been in town for just now fifteen oh __ now;3-4;51950;55830;3880;0;0
1205;375;eimgRedLkkU;1782;Empire of the Sun;390;walking on a dream;minutes;minute;19116;Living in a rhythm where the __ working overtime;3-4;86320;90270;3950;0;0
1206;507;pZ12_E5R3qc;2423;Beyonce;774;partition;minutes;minute;41111;Took 45 __ to get all dressed up;3-4;139460;141960;2500;1;0
1207;507;pZ12_E5R3qc;2423;Beyonce;774;partition;minutes;minute;41120;Took 45 __ to get all dressed up;3-4;160050;162590;2540;1;0
1208;507;pZ12_E5R3qc;2423;Beyonce;774;partition;minutes;minute;41143;Took 45 __ to get all dressed up;3-4;221970;224410;2440;1;0
