1424;60;gtOV7bp-gys;25;Robbie Williams;61;candy;system;system;3649;Father beat the __;5-6;75480;77600;2120;1;0
1425;90;4JipHEz53sU;42;Nicki Minaj;91;super bass;system;system;5242;This one is for the boys with the boomin' __,;5-6;9310;11130;1820;1;0
1426;90;4JipHEz53sU;42;Nicki Minaj;91;super bass;system;system;5243;Top down, AC, with the coolin' __;5-6;11130;12490;1360;1;0
1427;120;8WEtxJ4-sh4;72;TLC;122;waterfalls;system;system;6881;Prey to crime I say the __ got you victim to your mind;5-6;203000;205900;2900;0;0
1428;157;ewRjZoRtu0Y;174;M.I.A;159;paper planes;system;system;9089;Lethal poison through their __;5-6;86320;88960;2640;1;0
1429;157;ewRjZoRtu0Y;174;M.I.A;159;paper planes;system;system;9094;Lethal poison through their __;5-6;97460;100170;2710;1;0
1430;462;JXRN_LkCa_o;32;Chris Brown;746;loyal;system;system;39333;With Ciroc in the __?;5-6;153360;154940;1580;1;0
1431;602;ZaI2IlHwmgQ;2514;The Black Eyed Peas;1007;pump it;system;system;55259;The __ is gonna feel so fine;5-6;192860;198710;5850;0;0
1432;638;78-bUVSiJMA;3084;Phineas and Ferb;2072;Today is gonna be a great day;system;system;108481;Devising a __ for remembering everything;5-6;67880;70660;2780;0;0
1501;353;AaXaig_43lU;1240;Jeremih;367;down on me;Systems;system;18063;__ thumping party jumping;5-6;84760;85810;1050;1;0
1521;549;BAkqJT_sMKQ;2460;Magic system;819;magic in the air;System;system;44019;(Magic __) Allez, allez, allez;5-6;20890;22440;1550;0;0
1522;549;BAkqJT_sMKQ;2460;Magic system;819;magic in the air;System;system;44107;Magic __ bouge toujours;5-6;168800;171930;3130;0;0
