id;video_id;youtube_id;artist_id;artist_name;song_id;song_title;key;lemma;sentence_id;gapped_sent;year;start_time;end_time;duration;adults_only;offset
1;5;bESGLojNYSo;2;Lady Gaga;5;poker face;heart;heart;266;And after he's been hooked I'll play the one that's on his __;3-4;35940;39980;4040;0;0
2;9;XjwZAa2EjKA;3;Katy Perry;9;unconditionally;heart;heart;625;So open up your __ and just let it begin;3-4;129260;132610;3350;0;0
3;9;XjwZAa2EjKA;3;Katy Perry;9;unconditionally;heart;heart;626;Open up your __, and just let it begin;3-4;132610;136160;3550;0;0
4;9;XjwZAa2EjKA;3;Katy Perry;9;unconditionally;heart;heart;627;Open up your __, and just let it begin;3-4;136160;140260;4100;0;0
5;9;XjwZAa2EjKA;3;Katy Perry;9;unconditionally;heart;heart;628;Open up your __;3-4;140260;143850;3590;0;0
6;20;0NKUpo_xKyQ;7;Ellie Goulding;20;lights;heart;heart;1334;I had a __ then;3-4;15220;18660;3440;0;0
7;27;e-fA-gBCkj0;10;Bruno Mars;28;locked out of heaven;heart;heart;1826;Never wanna put my __ on the line, uh!;3-4;23000;29540;6540;1;2000
8;28;ekzHIouo8Q4;10;Bruno Mars;29;when i was your man;heart;heart;1874;'Cause my __ breaks a little when I hear your name;3-4;32600;37000;4400;0;11000
9;34;FyXtoTLLcDk;13;Justin Timberlake;35;tko;heart;heart;2248;But nobody wins when if somebody’s __ is slow;3-4;134960;138980;4020;1;0
10;45;OpQFFLBMEPI;18;P!nk;46;just give me a reason;heart;heart;2838;You were a thief, you stole my __;3-4;11530;14410;2880;0;0
11;45;OpQFFLBMEPI;18;P!nk;46;just give me a reason;heart;heart;2865;I never stop, you're still written in the scars on my __;3-4;128590;134260;5670;0;0
12;46;zsmUOdmm02A;18;P!nk;47;true love;heart;heart;2903;Nothin' else can break my __ like;3-4;57580;60080;2500;1;0
13;46;zsmUOdmm02A;18;P!nk;47;true love;heart;heart;2906;No one else can break my __ like you;3-4;67560;70200;2640;1;0
14;46;zsmUOdmm02A;18;P!nk;47;true love;heart;heart;2925;Nothin' else can break my __ like;3-4;127410;130170;2760;1;0
15;46;zsmUOdmm02A;18;P!nk;47;true love;heart;heart;2928;No one else can break my __ like you;3-4;137500;140420;2920;1;0
16;46;zsmUOdmm02A;18;P!nk;47;true love;heart;heart;2942;Nothin' else can break my __ like;3-4;187630;190160;2530;1;0
17;46;zsmUOdmm02A;18;P!nk;47;true love;heart;heart;2945;No one else can break my __ like you;3-4;197560;200180;2620;1;0
18;46;zsmUOdmm02A;18;P!nk;47;true love;heart;heart;2948;No one else can break my __ like you;3-4;207630;210160;2530;1;0
